n,p,k,rep,seed,n_original,n_connected,n_edges_G,spanner_size,theoretical_bound,spanner_size_ratio,max_stretch_edges,avg_stretch_edges,max_stretch_pairs,avg_stretch_pairs,time_gen,time_spanner,time_stretch,n_infinite_stretch_edges,n_infinite_stretch_pairs
500,0.003800451229771041,2,1,43,500,367,429,374,14061.417140530324,0.026597603659875114,inf,1.158311345646438,inf,1.1979564604140243,0.023874759674072266,0.00047087669372558594,0.1675708293914795,50,156
500,0.003800451229771041,2,2,44,500,382,439,402,14932.242698268738,0.02692160903911697,inf,1.0617283950617284,inf,1.1139184187122861,0.024094104766845703,0.00047397613525390625,0.18378734588623047,34,146
500,0.003800451229771041,2,3,45,500,330,373,331,11989.495402226066,0.02760750047400192,inf,1.0180722891566265,inf,1.1678101080361727,0.024220943450927734,0.0004210472106933594,0.13693451881408691,41,247
500,0.003800451229771041,2,4,46,500,401,455,416,16060.03748438963,0.02590280380132066,inf,1.0596658711217184,inf,1.1152659252773671,0.024296045303344727,0.0004820823669433594,0.18865084648132324,36,122
500,0.003800451229771041,3,0,42,500,392,460,447,8606.687029974026,0.05193636046521248,inf,1.0,inf,1.0311682041491481,0.024775981903076172,0.0007109642028808594,0.19678783416748047,13,68
500,0.003800451229771041,3,1,43,500,367,429,416,7882.718306140878,0.05277367322335029,inf,1.0191846522781776,inf,1.0258690545198481,0.02455282211303711,0.0007002353668212891,0.18433690071105957,12,50
500,0.003800451229771041,3,2,44,500,382,439,423,8315.194366919826,0.050870729093575075,inf,1.0188679245283019,inf,1.0618628255837756,0.025159358978271484,0.0007090568542480469,0.18988370895385742,15,68
500,0.003800451229771041,3,3,45,500,330,373,370,6841.318997711069,0.054083138079629466,11.0,1.064343163538874,5.0,1.0226881504659284,0.024572134017944336,0.0006060600280761719,0.15914607048034668,0,0
500,0.003800451229771041,3,4,46,500,401,455,439,8871.160122015859,0.049486199545707536,inf,1.1681614349775784,inf,1.0923192354697462,0.02467203140258789,0.0007538795471191406,0.1998460292816162,9,16
500,0.003800451229771041,4,0,42,500,392,460,450,6976.981559246365,0.0644978055594299,inf,1.1074561403508771,inf,1.034747662131683,0.024641990661621094,0.0009810924530029297,0.19931268692016602,4,26
500,0.003800451229771041,4,1,43,500,367,429,421,6425.287598590201,0.06552235888902053,19.0,1.1888111888111887,2.2857142857142856,1.0466303169192617,0.024328947067260742,0.0009090900421142578,0.18929100036621094,0,0
500,0.003800451229771041,4,2,44,500,382,439,434,6755.215295304011,0.06424665699429322,inf,1.0298850574712644,inf,1.005441906188559,0.025063037872314453,0.0009522438049316406,0.19508671760559082,4,29
500,0.003800451229771041,4,3,45,500,330,373,369,5626.034825867755,0.06558793385056691,inf,1.0564516129032258,inf,1.0146511671281848,0.024595975875854492,0.000823974609375,0.1598515510559082,1,20
500,0.003800451229771041,4,4,46,500,401,455,451,7177.785191124204,0.06283275244259061,inf,1.030905077262693,inf,1.0090656639580822,0.024167776107788086,0.0009810924530029297,0.20483827590942383,2,20
500,0.003800451229771041,5,0,42,500,392,460,456,6470.134141880033,0.07047767326003224,inf,1.0458515283842795,inf,1.0198316131666232,0.02441883087158203,0.001293182373046875,0.20472025871276855,2,2
500,0.003800451229771041,5,1,43,500,367,429,420,5978.18404904775,0.07025544823547224,inf,1.1100702576112411,inf,1.0235214975877789,0.024544954299926758,0.0011408329010009766,0.18707990646362305,2,13
500,0.003800451229771041,5,2,44,500,382,439,438,6272.577556940039,0.06982775358678389,6.0,1.0113895216400912,2.25,1.0079917027417027,0.024377107620239258,0.0011739730834960938,0.19757413864135742,0,0
500,0.003800451229771041,5,3,45,500,330,373,370,5262.434849580235,0.07030965904110215,inf,1.0,inf,1.0033071403283098,0.024216175079345703,0.0010552406311035156,0.19261503219604492,3,7
500,0.003800451229771041,5,4,46,500,401,455,448,6648.799727154308,0.06738058271936315,inf,1.099337748344371,inf,1.0365295332686637,0.02399611473083496,0.00121307373046875,0.20482468605041504,2,30
500,0.006907755278982137,2,0,42,500,486,844,769,21428.136269867242,0.035887395446583294,inf,1.0220207253886011,inf,1.0377733829688225,0.024621963500976562,0.0007350444793701172,0.29968786239624023,72,75
500,0.006907755278982137,2,1,43,500,476,840,748,20770.1878662664,0.036013155240394015,inf,1.088274044795784,inf,1.0568998751153824,0.025510787963867188,0.0007340908050537109,0.29756832122802734,81,121
500,0.006907755278982137,2,2,44,500,486,883,801,21428.136269867242,0.037380759106259064,inf,1.190876350540216,inf,1.0440217391304343,0.025471925735473633,0.000743865966796875,0.3198051452636719,50,80
500,0.006907755278982137,2,3,45,500,481,835,771,21098.30713588178,0.036543216241684356,inf,1.090561224489796,inf,1.0560787015770938,0.024721860885620117,0.0007188320159912109,0.3003232479095459,51,65
500,0.006907755278982137,2,4,46,500,484,853,779,21296.0,0.036579639368895564,inf,1.0782828282828283,inf,1.037170179547229,0.024976730346679688,0.0007350444793701172,0.30208420753479004,61,84
500,0.006907755278982137,3,0,42,500,486,844,829,11463.122858269708,0.07231886199334801,inf,1.0311377245508981,inf,1.0114544093499467,0.024250030517578125,0.0010690689086914062,0.3199777603149414,9,10
500,0.006907755278982137,3,1,43,500,476,840,805,11149.71735950142,0.0721991395875166,inf,1.1476590636254502,inf,1.0430663780663787,0.025213241577148438,0.0010581016540527344,0.3153259754180908,7,8
500,0.006907755278982137,3,2,44,500,486,883,868,11463.122858269708,0.07572107624876487,inf,1.0377142857142858,inf,1.00700322596177,0.025906801223754883,0.0011148452758789062,0.3270609378814697,8,11
500,0.006907755278982137,3,3,45,500,481,835,815,11306.148617297824,0.07208467070325716,inf,1.0903614457831325,inf,1.0206809235791092,0.025742769241333008,0.0010616779327392578,0.31371092796325684,5,6
500,0.006907755278982137,3,4,46,500,484,853,834,11400.268244103625,0.07315617335858358,inf,1.0439429928741093,inf,1.0106994818652848,0.024325847625732422,0.0010671615600585938,0.31847310066223145,11,34
500,0.006907755278982137,4,0,42,500,486,844,832,9127.573270987412,0.0911523770118139,inf,1.0581257413997627,inf,1.0104922715053766,0.024902820587158203,0.0014481544494628906,0.32114720344543457,1,4
500,0.006907755278982137,4,1,43,500,476,840,818,8893.41753178959,0.0919781396832042,inf,1.049576783555018,inf,1.0129251700680273,0.025314807891845703,0.0014119148254394531,0.3154890537261963,13,32
500,0.006907755278982137,4,2,44,500,486,883,868,9127.573270987412,0.095096470247902,inf,1.0613636363636363,inf,1.0128204205069131,0.02500295639038086,0.0014901161193847656,0.32960987091064453,3,8
500,0.006907755278982137,4,3,45,500,481,835,827,9010.343270867825,0.09178340659604504,inf,1.0455635491606714,inf,1.0060051311561886,0.03028082847595215,0.0013890266418457031,0.32208728790283203,1,5
500,0.006907755278982137,4,4,46,500,484,853,848,9080.64491101816,0.0933854377425401,7.0,1.030480656506448,1.5,1.0036870203536872,0.024194717407226562,0.0014259815216064453,0.3277289867401123,0,0
500,0.006907755278982137,5,0,42,500,486,844,836,8374.011007928382,0.09983268462490535,inf,1.0379596678529064,inf,1.0074287636346164,0.025571107864379883,0.0018010139465332031,0.32134294509887695,1,5
500,0.006907755278982137,5,1,43,500,476,840,822,8167.673104128139,0.10064065854748047,inf,1.0739856801909309,inf,1.0158218641602328,0.02442026138305664,0.0018858909606933594,0.3177490234375,2,5
500,0.006907755278982137,5,2,44,500,486,883,878,8374.011007928382,0.104848202273525,7.0,1.0249150622876557,1.6666666666666667,1.004,0.025157928466796875,0.0018410682678222656,0.3289337158203125,0,0
500,0.006907755278982137,5,3,45,500,481,835,827,8270.734810095817,0.09999111554036384,inf,1.040767386091127,inf,1.0051918654785859,0.025502920150756836,0.0017440319061279297,0.3150923252105713,1,4
500,0.006907755278982137,5,4,46,500,484,853,844,8332.674903611736,0.10128800292378795,inf,1.0410798122065728,inf,1.00655839800709,0.024127960205078125,0.0017852783203125,0.3247377872467041,1,5
500,0.012429216196844383,2,0,42,500,499,1572,1452,22293.6312878813,0.06513070846333138,inf,1.1728778467908902,inf,1.027559462254395,0.025249004364013672,0.0010819435119628906,0.402630090713501,34,30
500,0.012429216196844383,2,1,43,500,500,1543,1410,22360.679774997898,0.06305711696549407,inf,1.1612565445026177,inf,1.03245521601686,0.024801969528198242,0.0011038780212402344,0.39800024032592773,45,50
500,0.012429216196844383,2,2,44,500,500,1536,1404,22360.679774997898,0.0627887888081941,inf,1.1824817518248176,inf,1.0305936073059363,0.025820016860961914,0.0011260509490966797,0.4038078784942627,41,51
500,0.012429216196844383,2,3,45,500,500,1502,1386,22360.679774997898,0.06198380433629417,inf,1.190625,inf,1.0371433542101602,0.02498006820678711,0.0010330677032470703,0.3952195644378662,40,40
500,0.012429216196844383,2,4,46,500,497,1535,1425,22159.735828750305,0.06430582074679736,inf,1.1632231404958677,inf,1.038375350140056,0.025916099548339844,0.0010678768157958984,0.40651583671569824,32,47
500,0.012429216196844383,3,0,42,500,499,1572,1531,11873.77045610314,0.1289396662719771,6.0,1.094,2.5,1.017636242059512,0.033030033111572266,0.0016829967498779297,0.4269428253173828,0,0
500,0.012429216196844383,3,1,43,500,500,1543,1468,11905.507889761491,0.1233042734163783,inf,1.105740181268882,inf,1.0197202320027299,0.02533102035522461,0.008521080017089844,0.4128713607788086,7,22
500,0.012429216196844383,3,2,44,500,500,1536,1513,11905.507889761491,0.12708403656606293,inf,1.0291457286432162,inf,1.0057615230460921,0.024982929229736328,0.0015759468078613281,0.42188382148742676,5,2
500,0.012429216196844383,3,3,45,500,500,1502,1457,11905.507889761491,0.12238033131312206,inf,1.0663983903420524,inf,1.0150439486139284,0.025014877319335938,0.0015177726745605469,0.4109768867492676,6,12
500,0.012429216196844383,3,4,46,500,497,1535,1494,11810.3591980171,0.1264991161531171,6.0,1.084,2.0,1.0145979312645985,0.02556896209716797,0.0015630722045898438,0.4147019386291504,0,0
500,0.012429216196844383,4,0,42,500,499,1572,1548,9433.778463649767,0.16409119696468952,5.0,1.035,2.5,1.0081076563022402,0.025859832763671875,0.0021250247955322266,0.42728185653686523,0,0
500,0.012429216196844383,4,1,43,500,500,1543,1505,9457.416090031758,0.1591343751478049,inf,1.0491474423269809,inf,1.0109715242881072,0.025503873825073242,0.00217437744140625,0.4212651252746582,3,4
500,0.012429216196844383,4,2,44,500,500,1536,1515,9457.416090031758,0.16019174641124545,5.0,1.043,2.0,1.0080833333333334,0.024814844131469727,0.002093076705932617,0.4196162223815918,0,0
500,0.012429216196844383,4,3,45,500,500,1502,1477,9457.416090031758,0.1561737356101713,5.0,1.043,2.0,1.0091015364061457,0.02465510368347168,0.0020017623901367188,0.41242074966430664,0,0
